run_id,task,dataset,model,seed,n_samples,acc_lenient_labeled,acc_math_lenient_labeled,format_error_rate_strict,format_error_rate_lenient,steps_mean,steps_p50,steps_p90,p_hit_max,stop_uncertainty,auc_incorrect_surprisal_early,auc_incorrect_entropy_early,auc_incorrect_spike,report_json
lcp_p1_v1.gsm8k.meta-llama-meta-llama-3-1-8b-instruct.seed0.n200,gsm8k,gsm8k/main:test,meta-llama/Meta-Llama-3.1-8B-Instruct,0,200,0.5664739884393064,0.5664739884393064,0.13,0.13,48.745,43.0,96.0,0.13,0,0.6635654261704682,0.665266106442577,0.5341136454581833,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.meta-llama-meta-llama-3-1-8b-instruct.seed0.n200/analysis/report.json
lcp_p1_v1.gsm8k.meta-llama-meta-llama-3-1-8b-instruct.seed1.n200,gsm8k,gsm8k/main:test,meta-llama/Meta-Llama-3.1-8B-Instruct,1,200,0.6107784431137725,0.6107784431137725,0.15,0.15,48.79,41.0,96.0,0.15,0,0.695078031212485,0.695078031212485,0.5104541816726691,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.meta-llama-meta-llama-3-1-8b-instruct.seed1.n200/analysis/report.json
lcp_p1_v1.gsm8k.meta-llama-meta-llama-3-1-8b-instruct.seed2.n200,gsm8k,gsm8k/main:test,meta-llama/Meta-Llama-3.1-8B-Instruct,2,200,0.5365853658536586,0.5365853658536586,0.16,0.16,48.28,42.0,96.0,0.16,0,0.6493506493506493,0.6462053571428571,0.5267857142857143,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.meta-llama-meta-llama-3-1-8b-instruct.seed2.n200/analysis/report.json
lcp_p1_v1.gsm8k.mistralai-mistral-7b-instruct-v0-3.seed0.n200,gsm8k,gsm8k/main:test,mistralai/Mistral-7B-Instruct-v0.3,0,200,0.2158273381294964,0.2158273381294964,0.895,0.305,59.42,52.5,96.0,0.245,0,0.6275510204081632,0.6747448979591837,0.5,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.mistralai-mistral-7b-instruct-v0-3.seed0.n200/analysis/report.json
lcp_p1_v1.gsm8k.mistralai-mistral-7b-instruct-v0-3.seed1.n200,gsm8k,gsm8k/main:test,mistralai/Mistral-7B-Instruct-v0.3,1,200,0.2824427480916031,0.2824427480916031,0.92,0.335,60.525,53.0,96.0,0.28,0,0.6369230769230769,0.6492307692307693,0.5,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.mistralai-mistral-7b-instruct-v0-3.seed1.n200/analysis/report.json
lcp_p1_v1.gsm8k.mistralai-mistral-7b-instruct-v0-3.seed2.n200,gsm8k,gsm8k/main:test,mistralai/Mistral-7B-Instruct-v0.3,2,200,0.24444444444444444,0.24444444444444444,0.9,0.32,58.965,53.5,96.0,0.235,0,0.8762886597938144,0.9003436426116839,0.5,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.mistralai-mistral-7b-instruct-v0-3.seed2.n200/analysis/report.json
lcp_p1_v1.gsm8k.qwen-qwen2-5-14b-instruct.seed0.n200,gsm8k,gsm8k/main:test,Qwen/Qwen2.5-14B-Instruct,0,200,0.7880434782608695,0.7880434782608695,0.065,0.065,53.47,47.0,86.0,0.065,0,0.581692789968652,0.5951097178683386,0.5329153605015674,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.qwen-qwen2-5-14b-instruct.seed0.n200/analysis/report.json
lcp_p1_v1.gsm8k.qwen-qwen2-5-14b-instruct.seed1.n200,gsm8k,gsm8k/main:test,Qwen/Qwen2.5-14B-Instruct,1,200,0.8201058201058201,0.8201058201058201,0.035,0.035,52.24,48.0,83.0,0.035,0,0.6335483870967742,0.6352688172043011,0.5189964157706093,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.qwen-qwen2-5-14b-instruct.seed1.n200/analysis/report.json
lcp_p1_v1.gsm8k.qwen-qwen2-5-14b-instruct.seed2.n200,gsm8k,gsm8k/main:test,Qwen/Qwen2.5-14B-Instruct,2,200,0.8052631578947368,0.8052631578947368,0.03,0.03,51.78,48.0,85.0,0.04,0,0.6029759421499096,0.6029759421499096,0.49019607843137253,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.gsm8k.qwen-qwen2-5-14b-instruct.seed2.n200/analysis/report.json
lcp_p1_v1.trivia.meta-llama-meta-llama-3-1-8b-instruct.seed0.n200,trivia,trivia_qa/unfiltered.nocontext:validation,meta-llama/Meta-Llama-3.1-8B-Instruct,0,200,0.34,0.34,0.71,0.0,24.235,32.0,32.0,0.71,0,0.586178527354998,0.6865487453722748,0.5,/content/drive/MyDrive/grokking_artifacts/latent_configuration/01_interpretable_latent_probes/runs/lcp_p1_v1.trivia.meta-llama-meta-llama-3-1-8b-instruct.seed0.n200/analysis/report.json
