task,model,horizon,auc_entropy_mean,auc_entropy_std,n
gsm8k,Qwen/Qwen2.5-14B-Instruct,8,0.643381,0.010828,3
gsm8k,Qwen/Qwen2.5-14B-Instruct,16,0.611118,0.017376,3
gsm8k,Qwen/Qwen2.5-14B-Instruct,32,0.630071,0.015971,3
gsm8k,Qwen/Qwen2.5-14B-Instruct,64,0.664455,0.029968,3
gsm8k,Qwen/Qwen2.5-14B-Instruct,128,0.662096,0.021400,3
gsm8k,meta-llama/Meta-Llama-3.1-8B-Instruct,8,0.695816,0.003314,3
gsm8k,meta-llama/Meta-Llama-3.1-8B-Instruct,16,0.668850,0.020112,3
gsm8k,meta-llama/Meta-Llama-3.1-8B-Instruct,32,0.725677,0.007060,3
gsm8k,meta-llama/Meta-Llama-3.1-8B-Instruct,64,0.714028,0.019263,3
gsm8k,meta-llama/Meta-Llama-3.1-8B-Instruct,128,0.682971,0.012350,3
gsm8k,mistralai/Mistral-7B-Instruct-v0.3,8,0.680686,0.129896,3
gsm8k,mistralai/Mistral-7B-Instruct-v0.3,16,0.741440,0.112844,3
gsm8k,mistralai/Mistral-7B-Instruct-v0.3,32,0.787808,0.095060,3
gsm8k,mistralai/Mistral-7B-Instruct-v0.3,64,0.805182,0.088694,3
gsm8k,mistralai/Mistral-7B-Instruct-v0.3,128,0.797430,0.087462,3
trivia,Qwen/Qwen2.5-14B-Instruct,8,0.723249,0.044523,3
trivia,Qwen/Qwen2.5-14B-Instruct,16,0.749888,0.034877,3
trivia,Qwen/Qwen2.5-14B-Instruct,32,0.725522,0.038033,3
trivia,Qwen/Qwen2.5-14B-Instruct,64,0.725522,0.038033,3
trivia,Qwen/Qwen2.5-14B-Instruct,128,0.725522,0.038033,3
trivia,meta-llama/Meta-Llama-3.1-8B-Instruct,8,0.779390,0.030077,3
trivia,meta-llama/Meta-Llama-3.1-8B-Instruct,16,0.705534,0.026612,3
trivia,meta-llama/Meta-Llama-3.1-8B-Instruct,32,0.560929,0.012755,3
trivia,meta-llama/Meta-Llama-3.1-8B-Instruct,64,0.560929,0.012755,3
trivia,meta-llama/Meta-Llama-3.1-8B-Instruct,128,0.560929,0.012755,3
trivia,mistralai/Mistral-7B-Instruct-v0.3,8,0.248068,0.040272,3
trivia,mistralai/Mistral-7B-Instruct-v0.3,16,0.353121,0.085226,3
trivia,mistralai/Mistral-7B-Instruct-v0.3,32,0.417259,0.125421,3
trivia,mistralai/Mistral-7B-Instruct-v0.3,64,0.417259,0.125421,3
trivia,mistralai/Mistral-7B-Instruct-v0.3,128,0.417259,0.125421,3
